City/Town,County,Population,Total Case Counts,Two Week Case Counts,Average Daily Rate,Color,Change in Last Week,Total Tests,Total Tests Last Two Weeks,Total Positive Tests,Percent Positivity,Change Since Last Week,Testing Rate,Report Date,Start_Date,End_Date
Wellesley,Norfolk,"29,713",599,90,21.6,Yellow,Higher,95042,7842,99,1.26%,Higher,26392.44,2020-12-24,2020-12-06,2020-12-19
Wellfleet,Barnstable,"2,760",26,6,15.5,Grey,Lower,1818,144,7,4.86%,Lower,5217.70,2020-12-24,2020-12-06,2020-12-19
Wendell,Franklin,709,8,<5,30.2,Grey,No Change,774,70,4,5.71%,Lower,9869.57,2020-12-24,2020-12-06,2020-12-19
Wenham,Essex,"5,203",119,21,28.8,Yellow,Higher,7022,662,26,3.93%,Higher,12723.13,2020-12-24,2020-12-06,2020-12-19
West Boylston,Worcester,"7,841",228,46,41.9,Red,Lower,8017,1047,52,4.97%,Lower,13353.50,2020-12-24,2020-12-06,2020-12-19
West Bridgewater,Plymouth,"7,286",362,81,79.4,Red,Lower,9096,1139,87,7.64%,Lower,15633.10,2020-12-24,2020-12-06,2020-12-19
West Brookfield,Worcester,"3,704",92,27,52.1,Red,Higher,4304,494,30,6.07%,Higher,13337.38,2020-12-24,2020-12-06,2020-12-19
West Newbury,Essex,"4,036",87,25,44.2,Yellow,Lower,4171,490,26,5.31%,Lower,12139.58,2020-12-24,2020-12-06,2020-12-19
West Springfield,Hampden,"29,348",1372,229,55.7,Red,Lower,27934,3565,262,7.35%,Lower,12147.39,2020-12-24,2020-12-06,2020-12-19
West Stockbridge,Berkshire,"1,175",18,<5,12.2,Grey,Lower,1213,152,2,1.32%,Lower,12934.89,2020-12-24,2020-12-06,2020-12-19
West Tisbury,Dukes,"2,871",49,12,29.9,Green,Lower,3348,294,13,4.42%,Lower,10239.30,2020-12-24,2020-12-06,2020-12-19
Westborough,Worcester,"18,711",830,160,61.1,Red,Lower,24016,3322,189,5.69%,Lower,17754.14,2020-12-24,2020-12-06,2020-12-19
Westfield,Hampden,"41,355",1425,224,38.7,Red,Lower,36249,4218,252,5.97%,No Change,10199.48,2020-12-24,2020-12-06,2020-12-19
Westford,Middlesex,"23,089",583,135,41.8,Red,Lower,21091,2353,151,6.42%,Lower,10190.90,2020-12-24,2020-12-06,2020-12-19
Westhampton,Hampshire,"1,711",26,5,20.9,Grey,Higher,822,63,5,7.94%,Higher,3681.60,2020-12-24,2020-12-06,2020-12-19
Westminster,Worcester,"7,316",195,54,52.7,Red,No Change,7006,726,55,7.58%,Higher,9923.93,2020-12-24,2020-12-06,2020-12-19
Weston,Middlesex,"10,982",262,35,22.8,Yellow,Lower,18283,2246,42,1.87%,Higher,20452.16,2020-12-24,2020-12-06,2020-12-19
Westport,Bristol,"16,752",704,161,68.6,Red,Higher,14346,1795,183,10.19%,Higher,10714.99,2020-12-24,2020-12-06,2020-12-19
Westwood,Norfolk,"14,695",412,67,32.6,Yellow,No Change,17076,1772,68,3.84%,No Change,12058.37,2020-12-24,2020-12-06,2020-12-19
Weymouth,Norfolk,"56,177",2073,497,63.2,Red,Higher,49952,6506,558,8.58%,No Change,11581.19,2020-12-24,2020-12-06,2020-12-19
Whately,Franklin,"1,451",27,10,49.2,Grey,Lower,903,99,13,13.13%,Higher,6820.59,2020-12-24,2020-12-06,2020-12-19
Whitman,Plymouth,"15,539",594,153,70.3,Red,Higher,12635,1650,169,10.24%,Higher,10618.36,2020-12-24,2020-12-06,2020-12-19
Wilbraham,Hampden,"14,533",647,123,60.5,Red,Lower,24501,2099,155,7.38%,Lower,14442.54,2020-12-24,2020-12-06,2020-12-19
Williamsburg,Hampshire,"2,458",40,10,29.1,Grey,Lower,3774,466,10,2.15%,Lower,18956.40,2020-12-24,2020-12-06,2020-12-19
Williamstown,Berkshire,"7,178",146,24,23.9,Yellow,Higher,44468,1895,26,1.37%,Higher,26398.37,2020-12-24,2020-12-06,2020-12-19
Wilmington,Middlesex,"24,460",1069,268,78.3,Red,Higher,23217,3095,292,9.43%,Higher,12653.17,2020-12-24,2020-12-06,2020-12-19
Winchendon,Worcester,"10,765",274,53,35.2,Red,Lower,8437,1001,55,5.49%,Lower,9298.56,2020-12-24,2020-12-06,2020-12-19
Winchester,Middlesex,"22,284",596,174,55.8,Yellow,Higher,32161,4715,190,4.03%,Higher,21158.41,2020-12-24,2020-12-06,2020-12-19
Windsor,Berkshire,845,6,0,0.0,Grey,Lower,545,64,0,0.00%,Lower,7571.21,2020-12-24,2020-12-06,2020-12-19
Winthrop,Suffolk,"18,868",1278,255,96.5,Red,Lower,39022,4958,323,6.51%,Higher,26277.10,2020-12-24,2020-12-06,2020-12-19
Woburn,Middlesex,"41,525",2222,508,87.4,Red,Higher,47975,6861,577,8.41%,No Change,16522.56,2020-12-24,2020-12-06,2020-12-19
Worcester,Worcester,"191,575",13435,2295,85.6,Red,Lower,417354,38001,2562,6.74%,Higher,19836.13,2020-12-24,2020-12-06,2020-12-19
Worthington,Hampshire,"1,047",19,<5,20.5,Grey,Lower,1014,129,5,3.88%,Lower,12324.11,2020-12-24,2020-12-06,2020-12-19
Wrentham,Norfolk,"11,271",529,89,56.4,Yellow,Higher,15790,1927,94,4.88%,Higher,17096.46,2020-12-24,2020-12-06,2020-12-19
Yarmouth,Barnstable,"24,062",543,182,54.0,Red,Higher,19189,2822,206,7.30%,Higher,11728.18,2020-12-24,2020-12-06,2020-12-19
