City/Town,County,Population,Total Case Counts,Two Week Case Counts,Average Daily Rate,Color,Change in Last Week,Total Tests,Total Tests Last Two Weeks,Total Positive Tests,Percent Positivity,Change Since Last Week,Testing Rate,Report Date,Start_Date,End_Date
Watertown,Middlesex,"33,037",4968,984,212.8,,Lower,194984,7464,1131,15.15%,Lower,22593.03,2022-01-20,2022-01-02,2022-01-15
Wayland,Middlesex,"13,218",1625,372,201.0,,Higher,69259,2834,414,14.61%,No Change,21441.17,2022-01-20,2022-01-02,2022-01-15
Webster,Worcester,"17,181",3944,809,336.3,,Higher,77711,3800,879,23.13%,Higher,22117.58,2022-01-20,2022-01-02,2022-01-15
Wellesley,Norfolk,"29,713",3237,751,180.5,,Higher,303210,6646,804,12.10%,Lower,22367.27,2022-01-20,2022-01-02,2022-01-15
Wellfleet,Barnstable,"2,760",233,22,56.9,,Lower,6601,190,26,13.68%,Lower,6884.47,2022-01-20,2022-01-02,2022-01-15
Wendell,Franklin,709,71,24,241.7,,Higher,3383,173,26,15.03%,Higher,24391.95,2022-01-20,2022-01-02,2022-01-15
Wenham,Essex,"5,203",697,141,193.6,,Higher,28051,1151,148,12.86%,Lower,22121.33,2022-01-20,2022-01-02,2022-01-15
West Boylston,Worcester,"7,841",1369,199,181.3,,Lower,29436,1181,212,17.95%,Lower,15062.55,2022-01-20,2022-01-02,2022-01-15
West Bridgewater,Plymouth,"7,286",1713,249,244.1,,Higher,30595,1036,271,26.16%,Higher,14219.40,2022-01-20,2022-01-02,2022-01-15
West Brookfield,Worcester,"3,704",665,90,173.6,,Lower,15822,738,100,13.55%,No Change,19925.07,2022-01-20,2022-01-02,2022-01-15
West Newbury,Essex,"4,036",457,89,157.5,,Higher,13263,542,93,17.16%,Higher,13427.86,2022-01-20,2022-01-02,2022-01-15
West Springfield,Hampden,"29,348",6319,1353,329.3,,Higher,108549,5534,1476,26.67%,Higher,18856.57,2022-01-20,2022-01-02,2022-01-15
West Stockbridge,Berkshire,"1,175",111,30,182.4,,Higher,4673,225,33,14.67%,Higher,19147.04,2022-01-20,2022-01-02,2022-01-15
West Tisbury,Dukes,"2,871",329,55,136.8,,Higher,8926,403,56,13.90%,Higher,14035.50,2022-01-20,2022-01-02,2022-01-15
Westborough,Worcester,"18,711",3347,765,292.0,,Higher,92435,4021,837,20.82%,Higher,21489.89,2022-01-20,2022-01-02,2022-01-15
Westfield,Hampden,"41,355",7528,1488,257.0,,Higher,145027,7023,1621,23.08%,Higher,16982.20,2022-01-20,2022-01-02,2022-01-15
Westford,Middlesex,"23,089",3415,745,230.5,,Higher,76753,3505,786,22.43%,Lower,15180.25,2022-01-20,2022-01-02,2022-01-15
Westhampton,Hampshire,"1,711",146,18,75.1,,Lower,3014,132,20,15.15%,Lower,7713.82,2022-01-20,2022-01-02,2022-01-15
Westminster,Worcester,"7,316",1446,262,255.8,,Higher,24045,1019,274,26.89%,Higher,13929.05,2022-01-20,2022-01-02,2022-01-15
Weston,Middlesex,"10,982",1279,283,184.1,,Higher,86271,2660,308,11.58%,Lower,24222.06,2022-01-20,2022-01-02,2022-01-15
Westport,Bristol,"16,752",3366,552,235.4,,Higher,50012,2107,584,27.72%,Higher,12577.43,2022-01-20,2022-01-02,2022-01-15
Westwood,Norfolk,"14,695",2306,424,206.1,,Lower,66340,2451,455,18.56%,Lower,16678.93,2022-01-20,2022-01-02,2022-01-15
Weymouth,Norfolk,"56,177",10637,1995,253.7,,Lower,204781,8940,2151,24.06%,Higher,15913.90,2022-01-20,2022-01-02,2022-01-15
Whately,Franklin,"1,451",152,32,157.5,,Higher,3778,167,33,19.76%,Higher,11505.44,2022-01-20,2022-01-02,2022-01-15
Whitman,Plymouth,"15,539",2977,516,237.2,,Lower,47542,2124,554,26.08%,Lower,13668.73,2022-01-20,2022-01-02,2022-01-15
Wilbraham,Hampden,"14,533",3155,591,290.5,,Lower,81758,3420,646,18.89%,Lower,23531.91,2022-01-20,2022-01-02,2022-01-15
Williamsburg,Hampshire,"2,458",242,67,194.7,,Higher,15248,718,69,9.61%,Higher,29207.51,2022-01-20,2022-01-02,2022-01-15
Williamstown,Berkshire,"7,178",809,267,265.7,,Higher,163469,7758,286,3.69%,Lower,108073.11,2022-01-20,2022-01-02,2022-01-15
Wilmington,Middlesex,"24,460",4748,860,251.1,,Lower,89068,4041,910,22.52%,Higher,16520.67,2022-01-20,2022-01-02,2022-01-15
Winchendon,Worcester,"10,765",1948,284,188.4,,Higher,33217,1426,310,21.74%,Higher,13246.49,2022-01-20,2022-01-02,2022-01-15
Winchester,Middlesex,"22,284",3122,807,258.7,,Higher,131782,6808,873,12.82%,Lower,30550.68,2022-01-20,2022-01-02,2022-01-15
Windsor,Berkshire,845,72,17,143.7,,Higher,1993,107,17,15.89%,Higher,12658.11,2022-01-20,2022-01-02,2022-01-15
Winthrop,Suffolk,"18,868",4537,823,311.6,,Lower,111223,3788,953,25.16%,Lower,20076.17,2022-01-20,2022-01-02,2022-01-15
Woburn,Middlesex,"41,525",9129,2063,354.9,,Higher,177307,9469,2243,23.69%,Lower,22803.11,2022-01-20,2022-01-02,2022-01-15
Worcester,Worcester,"191,575",47630,10308,384.3,,Higher,1588427,59838,11114,18.57%,Lower,31234.82,2022-01-20,2022-01-02,2022-01-15
Worthington,Hampshire,"1,047",92,15,102.4,,Higher,3609,118,16,13.56%,Higher,11273.22,2022-01-20,2022-01-02,2022-01-15
Wrentham,Norfolk,"11,271",1982,307,194.6,,Lower,50697,2163,319,14.75%,Lower,19190.27,2022-01-20,2022-01-02,2022-01-15
Yarmouth,Barnstable,"24,062",3621,636,188.8,,Higher,74931,2977,682,22.91%,Higher,12372.36,2022-01-20,2022-01-02,2022-01-15
All of Massachusetts,Statewide,"6,964,383",1389830,271940,278.9,,Higher,38031854,1437394,296289,20.61%,Lower,20639.22,2022-01-20,2022-01-02,2022-01-15
Abington,Plymouth,"18,224",3631,393,154.0,,Lower,58041,2136,438,20.51%,Lower ,11720.65,2022-01-27,2022-01-09,2022-01-22
Acton,Middlesex,"23,728",2548,404,121.6,,Lower,86052,3368,448,13.30%,Lower ,14194.33,2022-01-27,2022-01-09,2022-01-22
Acushnet,Bristol,"10,449",2991,296,202.3,,Lower,41342,1544,327,21.18%,Lower ,14776.14,2022-01-27,2022-01-09,2022-01-22
Adams,Berkshire,"8,227",1291,207,179.7,,Lower,30538,1274,221,17.35%,Lower ,15484.78,2022-01-27,2022-01-09,2022-01-22
Agawam,Hampden,"28,496",6376,809,202.8,,Lower,116358,4451,905,20.33%,Lower ,15619.65,2022-01-27,2022-01-09,2022-01-22
Alford,Berkshire,462,23,<5,61.8,,Lower,499,28,6,21.43%,No Change,6057.54,2022-01-27,2022-01-09,2022-01-22
Amesbury,Essex,"16,598",2322,263,113.2,,Lower,54841,1811,285,15.74%,Lower ,10910.94,2022-01-27,2022-01-09,2022-01-22
Amherst,Hampshire,"40,259",5711,1081,191.8,,Lower,686494,19553,1226,6.27%,Lower ,48567.73,2022-01-27,2022-01-09,2022-01-22
Andover,Essex,"36,064",5944,700,138.6,,Lower,162488,4993,776,15.54%,Lower ,13844.81,2022-01-27,2022-01-09,2022-01-22
Aquinnah,Dukes,261,20,<5,27.4,,Lower,862,20,1,5.00%,Lower ,7668.62,2022-01-27,2022-01-09,2022-01-22
Arlington,Middlesex,"45,827",4467,590,92.0,,Lower,229524,7638,669,8.76%,Lower ,16666.98,2022-01-27,2022-01-09,2022-01-22
Ashburnham,Worcester,"6,287",1277,218,247.7,,Lower,29572,962,222,23.08%,Higher,15302.59,2022-01-27,2022-01-09,2022-01-22
Ashby,Middlesex,"3,488",508,66,135.2,,Higher,7997,292,68,23.29%,Lower ,8371.50,2022-01-27,2022-01-09,2022-01-22
Ashfield,Franklin,"1,695",109,28,118.0,,Lower,5437,225,31,13.78%,Higher,13271.43,2022-01-27,2022-01-09,2022-01-22
Ashland,Middlesex,"19,700",3222,410,148.7,,Lower,82721,3049,456,14.96%,Lower ,15476.80,2022-01-27,2022-01-09,2022-01-22
Athol,Worcester,"11,981",2759,426,254.0,,Lower,46517,1945,463,23.80%,Higher,16233.58,2022-01-27,2022-01-09,2022-01-22
Attleboro,Bristol,"46,517",9385,1228,188.6,,Lower,153428,5528,1342,24.28%,Lower ,11883.72,2022-01-27,2022-01-09,2022-01-22
Auburn,Worcester,"16,484",3717,441,191.1,,Lower,75997,2884,475,16.47%,Lower ,17495.62,2022-01-27,2022-01-09,2022-01-22
Avon,Norfolk,"4,376",1081,111,181.2,,Lower,16583,619,132,21.32%,Lower ,14144.72,2022-01-27,2022-01-09,2022-01-22
Ayer,Middlesex,"8,098",1840,257,226.7,,Lower,45744,1465,277,18.91%,Lower ,18090.39,2022-01-27,2022-01-09,2022-01-22
Barnstable,Barnstable,"44,773",8610,917,146.3,,Lower,145497,4895,991,20.25%,Lower ,10933.05,2022-01-27,2022-01-09,2022-01-22
Barre,Worcester,"5,560",989,142,182.4,,Lower,17633,710,145,20.42%,Lower ,12769.49,2022-01-27,2022-01-09,2022-01-22
Becket,Berkshire,"1,795",208,28,111.4,,Lower,6499,204,28,13.73%,No Change,11362.39,2022-01-27,2022-01-09,2022-01-22
Bedford,Middlesex,"14,995",2414,396,188.6,,Lower,83865,3211,427,13.30%,Lower ,21414.23,2022-01-27,2022-01-09,2022-01-22
Belchertown,Hampshire,"16,054",2376,358,159.3,,Lower,71464,2948,382,12.96%,Lower ,18362.62,2022-01-27,2022-01-09,2022-01-22
Bellingham,Norfolk,"18,017",3038,402,159.4,,Lower,49661,1710,426,24.91%,Lower ,9490.97,2022-01-27,2022-01-09,2022-01-22
Belmont,Middlesex,"27,409",3104,501,130.6,,Lower,147465,5967,576,9.65%,Lower ,21770.55,2022-01-27,2022-01-09,2022-01-22
Berkley,Bristol,"6,815",1663,207,217.0,,Lower,22166,821,223,27.16%,Lower ,12046.83,2022-01-27,2022-01-09,2022-01-22
Berlin,Worcester,"3,227",580,70,154.9,,Lower,12188,473,91,19.24%,Lower ,14656.62,2022-01-27,2022-01-09,2022-01-22
Bernardston,Franklin,"2,073",231,57,196.4,,Lower,9144,490,64,13.06%,Higher,23642.43,2022-01-27,2022-01-09,2022-01-22
Beverly,Essex,"41,071",8029,844,146.8,,Lower,255552,6161,947,15.37%,Lower ,15000.88,2022-01-27,2022-01-09,2022-01-22
Billerica,Middlesex,"43,673",8899,1049,171.6,,Lower,154284,5466,1130,20.67%,Lower ,12515.86,2022-01-27,2022-01-09,2022-01-22
Blackstone,Worcester,"9,026",1684,210,166.2,,Lower,27160,910,229,25.16%,Lower ,10082.02,2022-01-27,2022-01-09,2022-01-22
Blandford,Hampden,"1,209",200,37,218.6,,Lower,3254,146,37,25.34%,Lower ,12076.34,2022-01-27,2022-01-09,2022-01-22
Bolton,Worcester,"5,055",708,116,163.9,,Lower,20681,722,121,16.76%,Lower ,14282.20,2022-01-27,2022-01-09,2022-01-22
Boston,Suffolk,"692,958",155142,19701,203.1,,Lower,6573686,208790,22564,10.81%,Lower ,30130.24,2022-01-27,2022-01-09,2022-01-22
Bourne,Barnstable,"21,026",3230,355,120.6,,Lower,80268,2025,380,18.77%,No Change,9631.15,2022-01-27,2022-01-09,2022-01-22
Boxborough,Middlesex,"5,073",587,73,102.8,,Lower,18359,639,76,11.89%,Lower ,12595.81,2022-01-27,2022-01-09,2022-01-22
Boxford,Essex,"7,640",1265,146,136.5,,Lower,30986,883,156,17.67%,Lower ,11556.86,2022-01-27,2022-01-09,2022-01-22
Boylston,Worcester,"4,489",743,85,135.2,,Lower,18541,608,89,14.64%,Lower ,13543.05,2022-01-27,2022-01-09,2022-01-22
Braintree,Norfolk,"39,657",8311,912,164.3,,Lower,168972,5865,1016,17.32%,Lower ,14789.19,2022-01-27,2022-01-09,2022-01-22
Brewster,Barnstable,"9,926",1218,124,89.2,,Lower,34612,1111,131,11.79%,Lower ,11192.30,2022-01-27,2022-01-09,2022-01-22
Bridgewater,Plymouth,"28,615",6008,671,167.5,,Lower,118681,3545,733,20.68%,Lower ,12388.42,2022-01-27,2022-01-09,2022-01-22
Brimfield,Hampden,"3,727",591,78,149.5,,Lower,11151,398,88,22.11%,Higher,10678.15,2022-01-27,2022-01-09,2022-01-22
Brockton,Plymouth,"99,226",28210,2794,201.1,,Lower,432142,14755,3149,21.34%,Lower ,14870.04,2022-01-27,2022-01-09,2022-01-22
Brookfield,Worcester,"3,688",597,81,156.9,,Lower,11122,368,89,24.18%,Higher,9977.32,2022-01-27,2022-01-09,2022-01-22
Brookline,Norfolk,"64,727",6145,998,110.1,,Lower,433416,14896,1135,7.62%,Lower ,23013.44,2022-01-27,2022-01-09,2022-01-22
Buckland,Franklin,"1,838",169,28,108.8,,Lower,1319,88,36,40.91%,Lower ,4787.59,2022-01-27,2022-01-09,2022-01-22
Burlington,Middlesex,"27,819",4754,617,158.4,,Lower,107051,4088,685,16.76%,Lower ,14695.09,2022-01-27,2022-01-09,2022-01-22
Cambridge,Middlesex,"111,989",16970,2984,190.3,,Lower,2017061,63635,3830,6.02%,Lower ,56822.53,2022-01-27,2022-01-09,2022-01-22
Canton,Norfolk,"23,173",4379,561,172.9,,Lower,102250,3368,636,18.88%,Lower ,14534.23,2022-01-27,2022-01-09,2022-01-22
Carlisle,Middlesex,"4,723",606,123,186.0,,Lower,21226,1006,134,13.32%,Lower ,21300.01,2022-01-27,2022-01-09,2022-01-22
Carver,Plymouth,"12,248",2058,254,148.1,,Lower,31729,1154,286,24.78%,Lower ,9421.70,2022-01-27,2022-01-09,2022-01-22
Charlemont,Franklin,"1,174",106,18,109.5,,Higher,4305,176,21,11.93%,Higher,14988.98,2022-01-27,2022-01-09,2022-01-22
Charlton,Worcester,"14,164",2554,294,148.3,,Lower,51205,1622,317,19.54%,Lower ,11451.83,2022-01-27,2022-01-09,2022-01-22
Chatham,Barnstable,"5,830",700,95,116.4,,Higher,16677,447,99,22.15%,Higher,7667.85,2022-01-27,2022-01-09,2022-01-22
Chelmsford,Middlesex,"35,973",6563,767,152.3,,Lower,128086,4584,828,18.06%,Lower ,12742.81,2022-01-27,2022-01-09,2022-01-22
Chelsea,Suffolk,"36,918",14848,1454,281.3,,Lower,224779,7937,1670,21.04%,Lower ,21498.80,2022-01-27,2022-01-09,2022-01-22
Cheshire,Berkshire,"2,936",482,76,184.9,,Lower,11486,417,77,18.47%,Higher,14202.42,2022-01-27,2022-01-09,2022-01-22
Chester,Hampden,"1,358",173,19,100.0,,Lower,2926,109,19,17.43%,Lower ,8028.11,2022-01-27,2022-01-09,2022-01-22
Chesterfield,Hampshire,"1,224",122,12,70.0,,Lower,3412,134,14,10.45%,Higher,10950.90,2022-01-27,2022-01-09,2022-01-22
Chicopee,Hampden,"56,710",14656,2062,259.7,,Lower,225921,9924,2397,24.15%,Lower ,17499.47,2022-01-27,2022-01-09,2022-01-22
Chilmark,Dukes,759,87,14,131.8,,Lower,5790,154,16,10.39%,Lower ,20300.13,2022-01-27,2022-01-09,2022-01-22
Clarksburg,Berkshire,"1,673",252,42,179.3,,Higher,3893,161,44,27.33%,Higher,9620.57,2022-01-27,2022-01-09,2022-01-22
Clinton,Worcester,"14,080",3300,375,190.2,,Lower,48756,1822,413,22.67%,Lower ,12940.70,2022-01-27,2022-01-09,2022-01-22
Cohasset,Norfolk,"7,355",1027,111,107.8,,Lower,29679,765,124,16.21%,Lower ,10401.17,2022-01-27,2022-01-09,2022-01-22
Colrain,Franklin,"1,582",190,60,270.8,,Higher,5529,302,62,20.53%,Higher,19084.65,2022-01-27,2022-01-09,2022-01-22
Concord,Middlesex,"18,731",2315,300,114.4,,Lower,103249,3094,326,10.54%,Lower ,16518.11,2022-01-27,2022-01-09,2022-01-22
Conway,Franklin,"1,932",144,21,77.7,,Lower,7040,300,25,8.33%,Lower ,15530.96,2022-01-27,2022-01-09,2022-01-22
Cummington,Hampshire,784,68,10,91.1,,Lower,3179,133,12,9.02%,Lower ,16962.74,2022-01-27,2022-01-09,2022-01-22
Dalton,Berkshire,"6,466",1010,204,225.4,,Lower,29199,1145,226,19.74%,Higher,17707.98,2022-01-27,2022-01-09,2022-01-22
Danvers,Essex,"28,667",6732,746,185.9,,Lower,137000,5028,803,15.97%,Lower ,17539.41,2022-01-27,2022-01-09,2022-01-22
Dartmouth,Bristol,"37,104",8072,937,180.4,,Lower,140826,5101,1036,20.31%,Lower ,13747.71,2022-01-27,2022-01-09,2022-01-22
Dedham,Norfolk,"27,392",4707,474,123.6,,Lower,122866,4190,549,13.10%,Lower ,15296.71,2022-01-27,2022-01-09,2022-01-22
Deerfield,Franklin,"5,308",523,88,118.4,,Lower,56847,1226,104,8.48%,Lower ,23097.71,2022-01-27,2022-01-09,2022-01-22
Dennis,Barnstable,"13,088",1983,267,145.7,,Lower,38898,1314,285,21.69%,Lower ,10039.95,2022-01-27,2022-01-09,2022-01-22
Dighton,Bristol,"7,927",1649,173,155.9,,Lower,24607,894,182,20.36%,Lower ,11277.54,2022-01-27,2022-01-09,2022-01-22
Douglas,Worcester,"9,486",1503,211,158.9,,Lower,26665,958,230,24.01%,Lower ,10099.12,2022-01-27,2022-01-09,2022-01-22
Dover,Norfolk,"5,134",634,81,112.7,,Lower,26105,736,92,12.50%,Lower ,14336.30,2022-01-27,2022-01-09,2022-01-22
Dracut,Middlesex,"32,415",8210,853,188.0,,Lower,119289,3752,923,24.60%,Lower ,11575.06,2022-01-27,2022-01-09,2022-01-22
Dudley,Worcester,"12,470",2508,377,216.0,,Lower,75537,1738,413,23.76%,Lower ,13937.80,2022-01-27,2022-01-09,2022-01-22
Dunstable,Middlesex,"3,330",458,48,103.0,,Lower,8833,280,49,17.50%,Lower ,8407.75,2022-01-27,2022-01-09,2022-01-22
Duxbury,Plymouth,"15,120",2328,291,137.5,,Lower,54672,1713,310,18.10%,Lower ,11329.08,2022-01-27,2022-01-09,2022-01-22
East Bridgewater,Plymouth,"14,879",2976,257,123.4,,Lower,48237,1776,280,15.77%,Lower ,11936.63,2022-01-27,2022-01-09,2022-01-22
East Brookfield,Worcester,"2,244",437,34,108.2,,Lower,6593,221,35,15.84%,Lower ,9847.35,2022-01-27,2022-01-09,2022-01-22
East Longmeadow,Hampden,"17,005",3596,442,185.7,,Lower,69213,2292,484,21.12%,Lower ,13478.04,2022-01-27,2022-01-09,2022-01-22
Eastham,Barnstable,"4,603",408,20,31.0,,Lower,10595,257,24,9.34%,Lower ,5583.78,2022-01-27,2022-01-09,2022-01-22
Easthampton,Hampshire,"16,194",2612,450,198.5,,Lower,103057,3773,515,13.65%,Lower ,23298.50,2022-01-27,2022-01-09,2022-01-22
Easton,Bristol,"23,741",4678,577,173.6,,Lower,185807,5205,614,11.80%,Lower ,21924.04,2022-01-27,2022-01-09,2022-01-22
Edgartown,Dukes,"4,086",956,95,166.1,,Lower,20292,552,104,18.84%,Lower ,13508.97,2022-01-27,2022-01-09,2022-01-22
Egremont,Berkshire,"1,074",64,10,66.5,,Lower,2571,89,11,12.36%,Lower ,8290.20,2022-01-27,2022-01-09,2022-01-22
Erving,Franklin,"2,113",251,46,155.5,,Lower,7048,339,49,14.45%,Lower ,16045.91,2022-01-27,2022-01-09,2022-01-22
Essex,Essex,"3,728",479,37,70.9,,Lower,11345,335,40,11.94%,Higher,8986.25,2022-01-27,2022-01-09,2022-01-22
Everett,Middlesex,"48,552",15662,1655,243.5,,Lower,231241,7843,2034,25.93%,Lower ,16153.84,2022-01-27,2022-01-09,2022-01-22
Fairhaven,Bristol,"16,013",4176,429,191.4,,Lower,71223,2571,465,18.09%,Lower ,16055.96,2022-01-27,2022-01-09,2022-01-22
Fall River,Bristol,"89,317",28071,3256,260.4,,Lower,371470,14649,3612,24.66%,Lower ,16401.11,2022-01-27,2022-01-09,2022-01-22
Falmouth,Barnstable,"31,190",3817,420,96.2,,Lower,106013,2797,442,15.80%,Lower ,8967.52,2022-01-27,2022-01-09,2022-01-22
Fitchburg,Worcester,"42,123",10634,1290,218.7,,Lower,163404,6309,1390,22.03%,Lower ,14977.47,2022-01-27,2022-01-09,2022-01-22
Florida,Berkshire,784,89,20,182.2,,Higher,1547,73,20,27.40%,Higher,9312.26,2022-01-27,2022-01-09,2022-01-22
Foxborough,Norfolk,"18,209",3150,368,144.4,,Lower,82941,1857,396,21.32%,Lower ,10198.00,2022-01-27,2022-01-09,2022-01-22
Framingham,Middlesex,"74,398",16562,2364,227.0,,Lower,349165,14976,2712,18.11%,Lower ,20129.64,2022-01-27,2022-01-09,2022-01-22
Franklin,Norfolk,"33,920",4934,709,149.3,,Lower,141936,5021,753,15.00%,Lower ,14802.45,2022-01-27,2022-01-09,2022-01-22
Freetown,Bristol,"9,049",2188,244,192.6,,Lower,30658,1201,264,21.98%,Lower ,13271.93,2022-01-27,2022-01-09,2022-01-22
Gardner,Worcester,"19,874",5366,761,273.5,,Lower,78871,3004,803,26.73%,Higher,15115.49,2022-01-27,2022-01-09,2022-01-22
Georgetown,Essex,"8,986",1378,114,90.6,,Lower,28258,827,127,15.36%,Lower ,9203.43,2022-01-27,2022-01-09,2022-01-22
Gill,Franklin,"1,672",187,27,115.4,,Lower,8640,294,30,10.20%,Lower ,17587.53,2022-01-27,2022-01-09,2022-01-22
Gloucester,Essex,"28,406",4678,575,144.6,,Lower,96387,3324,603,18.14%,Lower ,11701.59,2022-01-27,2022-01-09,2022-01-22
Goshen,Hampshire,"1,157",62,<5,24.7,,Lower,2214,72,4,5.56%,Lower ,6225.45,2022-01-27,2022-01-09,2022-01-22
Gosnold,Dukes,45,10,<5,639.6,,No Change,148,4,4,100.00%,No Change,8954.36,2022-01-27,2022-01-09,2022-01-22
Grafton,Worcester,"20,125",2904,386,137.0,,Lower,82265,3082,408,13.24%,Lower ,15314.36,2022-01-27,2022-01-09,2022-01-22
Granby,Hampshire,"6,112",1035,162,189.3,,Lower,25650,1042,178,17.08%,Lower ,17047.28,2022-01-27,2022-01-09,2022-01-22
Granville,Hampden,"1,550",239,17,78.4,,Lower,4111,129,21,16.28%,Lower ,8324.31,2022-01-27,2022-01-09,2022-01-22
Great Barrington,Berkshire,"6,720",1081,163,173.3,,Lower,47676,1740,175,10.06%,Lower ,25892.38,2022-01-27,2022-01-09,2022-01-22
Greenfield,Franklin,"17,148",2696,658,274.1,,Lower,87456,5164,744,14.41%,Higher,30113.43,2022-01-27,2022-01-09,2022-01-22
Groton,Middlesex,"11,690",1396,181,110.6,,Lower,51606,1972,207,10.50%,Lower ,16869.33,2022-01-27,2022-01-09,2022-01-22
Groveland,Essex,"6,846",1027,94,98.1,,Lower,19772,556,98,17.63%,Lower ,8121.40,2022-01-27,2022-01-09,2022-01-22
Hadley,Hampshire,"5,804",701,130,160.0,,Lower,45931,1721,144,8.37%,Lower ,29653.19,2022-01-27,2022-01-09,2022-01-22
Halifax,Plymouth,"7,644",1352,154,143.9,,Lower,21409,686,165,24.05%,Lower ,8973.97,2022-01-27,2022-01-09,2022-01-22
Hamilton,Essex,"7,375",909,102,98.8,,Lower,28823,839,106,12.63%,No Change,11376.06,2022-01-27,2022-01-09,2022-01-22
Hampden,Hampden,"4,898",1071,130,189.6,,Lower,21329,769,151,19.64%,Lower ,15701.75,2022-01-27,2022-01-09,2022-01-22
Hancock,Berkshire,641,41,<5,33.4,,Lower,599,27,3,11.11%,Lower ,4214.14,2022-01-27,2022-01-09,2022-01-22
Hanover,Plymouth,"14,379",3741,458,227.5,,Lower,57340,2667,500,18.75%,Lower ,18547.30,2022-01-27,2022-01-09,2022-01-22
Hanson,Plymouth,"10,764",2094,264,175.2,,Lower,33108,1272,291,22.88%,Lower ,11817.01,2022-01-27,2022-01-09,2022-01-22
Hardwick,Worcester,"3,341",383,82,175.3,,Higher,7701,310,86,27.74%,Higher,9278.45,2022-01-27,2022-01-09,2022-01-22
Harvard,Worcester,"6,951",516,86,88.4,,Lower,18773,663,90,13.57%,Lower ,9537.56,2022-01-27,2022-01-09,2022-01-22
Harwich,Barnstable,"12,589",1765,214,121.4,,Lower,37456,1228,234,19.06%,Higher,9754.83,2022-01-27,2022-01-09,2022-01-22
Hatfield,Hampshire,"3,235",441,81,178.9,,Lower,14651,618,86,13.92%,Lower ,19105.00,2022-01-27,2022-01-09,2022-01-22
Haverhill,Essex,"65,939",17116,1749,189.5,,Lower,271735,8960,2017,22.51%,Lower ,13588.38,2022-01-27,2022-01-09,2022-01-22
Hawley,Franklin,284,21,<5,75.4,,No Change,222,9,3,33.33%,No Change,3165.78,2022-01-27,2022-01-09,2022-01-22
Heath,Franklin,588,71,7,85.0,,Lower,1606,58,8,13.79%,Lower ,9860.80,2022-01-27,2022-01-09,2022-01-22
Hingham,Plymouth,"24,005",3807,398,118.4,,Lower,103740,3088,431,13.96%,Lower ,12863.97,2022-01-27,2022-01-09,2022-01-22
Hinsdale,Berkshire,"2,127",285,51,171.3,,Lower,7735,333,53,15.92%,Lower ,15659.13,2022-01-27,2022-01-09,2022-01-22
Holbrook,Norfolk,"11,335",2470,341,214.9,,Lower,41444,1578,383,24.27%,Lower ,13921.73,2022-01-27,2022-01-09,2022-01-22
Holden,Worcester,"18,997",3481,477,179.3,,Lower,85245,3259,519,15.93%,Lower ,17155.16,2022-01-27,2022-01-09,2022-01-22
Holland,Hampden,"2,565",416,49,136.4,,Lower,7149,223,50,22.42%,Lower ,8693.05,2022-01-27,2022-01-09,2022-01-22
Holliston,Middlesex,"13,726",2028,310,161.3,,Lower,55229,2088,332,15.90%,Lower ,15211.85,2022-01-27,2022-01-09,2022-01-22
Holyoke,Hampden,"40,638",11968,1441,253.3,,Lower,215130,8188,1679,20.51%,Lower ,20148.46,2022-01-27,2022-01-09,2022-01-22
Hopedale,Worcester,"5,633",966,127,161.0,,Lower,21220,702,136,19.37%,Lower ,12461.19,2022-01-27,2022-01-09,2022-01-22
Hopkinton,Middlesex,"16,382",2787,401,174.8,,Lower,72032,2622,449,17.12%,Lower ,16005.66,2022-01-27,2022-01-09,2022-01-22
Hubbardston,Worcester,"4,680",692,112,170.9,,Lower,13628,549,120,21.86%,Higher,11731.39,2022-01-27,2022-01-09,2022-01-22
Hudson,Middlesex,"21,060",4232,599,203.2,,Lower,71586,3085,671,21.75%,Lower ,14648.37,2022-01-27,2022-01-09,2022-01-22
Hull,Plymouth,"9,795",1241,120,87.5,,Lower,29565,830,126,15.18%,Lower ,8473.45,2022-01-27,2022-01-09,2022-01-22
Huntington,Hampshire,"2,200",329,42,136.4,,Lower,7432,289,43,14.88%,Lower ,13136.13,2022-01-27,2022-01-09,2022-01-22
Ipswich,Essex,"13,408",1771,202,107.6,,Lower,50846,1645,222,13.50%,No Change,12268.79,2022-01-27,2022-01-09,2022-01-22
Kingston,Plymouth,"13,670",2697,319,166.7,,Lower,54418,1811,352,19.44%,Lower ,13247.58,2022-01-27,2022-01-09,2022-01-22
Lakeville,Plymouth,"11,368",2471,289,181.6,,Lower,37906,1289,313,24.28%,Lower ,11338.88,2022-01-27,2022-01-09,2022-01-22
Lancaster,Worcester,"8,589",1291,150,124.7,,Lower,27603,1011,160,15.83%,Lower ,11770.86,2022-01-27,2022-01-09,2022-01-22
Lanesborough,Berkshire,"3,024",398,64,151.2,,Lower,10154,437,70,16.02%,Lower ,14449.55,2022-01-27,2022-01-09,2022-01-22
Lawrence,Essex,"87,731",36008,3133,255.1,,Lower,381041,12764,3760,29.46%,Lower ,14549.01,2022-01-27,2022-01-09,2022-01-22
Lee,Berkshire,"5,830",899,180,220.5,,Lower,21234,1126,197,17.50%,Lower ,19313.40,2022-01-27,2022-01-09,2022-01-22
Leicester,Worcester,"11,264",2634,354,224.5,,Lower,51377,1670,376,22.51%,Lower ,14826.38,2022-01-27,2022-01-09,2022-01-22
